,edad-actual,edad-morir,hijes-tenes,gestacion-aborto,gestacion-persona,genero-coincide,morir-cuerpo,morir-redes,miedo-propia,miedo-resto,muerte-experiencia,muerte-eutanasia,firstTime,hijes-gustaria,hijes-volveria
352,21,90,0,15,42,100,0,67,24,77,25,100,True,0.0,
353,21,80,0,16,16,100,0,0,17,77,99,100,True,100.0,
354,44,85,1,12,36,100,2,1,49,83,47,86,True,,100.0
355,32,72,1,14,42,100,100,0,100,100,100,99,True,,100.0
356,29,85,0,8,20,100,100,62,59,72,0,100,True,64.0,
357,29,130,0,42,42,100,75,78,79,86,1,100,True,30.0,
358,44,120,1,12,34,93,15,16,100,76,24,100,True,,0.0
359,26,85,0,42,42,47,0,28,51,100,50,100,True,27.0,
360,33,101,0,24,28,88,19,34,64,93,0,100,True,9.0,
361,49,88,1,16,16,100,52,53,53,75,51,78,True,,100.0
362,28,90,0,12,42,60,0,0,64,73,49,100,True,0.0,
363,23,59,0,21,42,89,72,0,49,64,61,100,True,63.0,
364,33,96,0,12,12,100,100,100,24,79,79,100,True,69.0,
365,27,85,0,8,42,100,60,14,25,100,81,100,True,69.0,
366,37,80,1,14,13,100,11,67,41,66,42,100,True,,100.0
367,23,92,0,5,42,81,0,0,30,100,100,100,True,100.0,
368,23,90,0,12,14,100,89,17,26,69,79,100,True,60.0,
369,27,82,0,42,42,100,0,0,73,73,26,100,True,73.0,
370,27,75,0,0,0,46,76,0,20,74,100,2,True,92.0,
371,28,78,0,12,42,100,17,100,55,82,57,100,True,1.0,
372,45,90,0,20,42,44,0,0,0,74,53,100,True,0.0,
373,42,90,1,0,30,100,78,19,85,99,82,97,True,,100.0
374,50,91,1,12,30,100,0,18,23,68,0,100,True,,100.0
375,32,130,0,14,42,100,0,2,83,100,0,100,True,73.0,
376,21,80,0,14,42,100,78,79,82,100,89,100,True,77.0,
377,33,89,0,42,42,100,100,18,78,79,85,100,True,100.0,
378,32,70,0,13,42,72,0,0,0,100,0,100,True,0.0,
379,52,60,0,15,41,100,86,87,0,81,49,100,True,0.0,
380,26,90,0,24,35,100,75,0,70,88,7,100,True,77.0,
381,44,75,0,20,27,100,0,0,49,52,69,100,True,0.0,
382,22,66,0,20,42,14,0,18,0,100,0,100,True,0.0,
383,28,100,0,14,42,100,100,3,20,26,0,100,True,18.0,
384,36,100,0,10,42,100,48,47,59,100,59,100,True,0.0,
385,19,90,0,4,31,100,7,6,16,70,36,18,True,69.0,
386,31,75,0,12,42,100,1,0,21,66,0,100,True,67.0,
387,20,110,0,14,20,100,21,0,100,100,100,100,True,100.0,
388,23,105,0,20,5,86,63,85,76,90,65,100,True,11.0,
389,23,90,0,18,1,100,0,76,25,77,0,100,True,100.0,
390,42,75,0,14,38,100,65,38,45,72,62,100,True,26.0,
391,32,95,0,14,24,94,0,0,62,80,0,100,True,100.0,
392,33,78,0,32,42,100,22,0,28,81,21,100,True,88.0,
393,19,102,0,26,42,83,96,81,36,100,91,100,True,81.0,
394,22,130,0,30,42,100,0,0,100,64,0,100,True,67.0,
395,34,106,1,16,8,100,0,47,100,67,0,100,True,,100.0
